family_id,countWildType,countHetVar,countHomoVar
2191-1,23,2,1
3395-3,19,2,0
3252-22,76,8,1
3569-229,10,0,0
2945-1,0,0,0
5816-1,103,9,9
5538-1,162,27,10
4992-4,93,18,3
4349-46,54,7,3
3654-8,80,10,4
4057-1,32,1,1
5454-1,87,7,4
3521-10,103,8,5
2191-90,39,2,0
3568-74,54,1,4
2053-82,124,11,6
4713-1,164,37,7
3530-12,68,4,0
3594-72,158,25,15
1865-15,37,2,3
2931-80,23,3,0
5886-1,72,3,8
3575-5,115,8,8
4098-1,116,21,8
3171-11,107,10,6
4690-32,96,10,4
3536-9,64,8,2
3132-14,117,23,6
1812-22,38,4,1
4563-1,75,6,1
3594-70,130,10,13
4396-1,76,8,4
4167-41,91,11,6
5592-8,125,17,9
3569-87,112,12,5
2887-28,18,1,3
4699-1,108,9,5
4780-1,37,3,1
4100-10,41,2,4
2887-24,2,1,0
4940-1,35,6,0
1812-7,24,2,0
2943-15,53,8,1
3594-1,61,11,1
2191-31,80,6,3
3726-1,102,8,8
3429-40,69,11,1
3295-1,52,8,2
2191-29,15,3,0
3503-8,21,4,0
3302-16,33,2,1
3327-147,35,3,2
2931-1,23,3,1
2800-1,20,0,0
3395-339,55,2,4
3339-1,17,4,2
2053-1,64,4,3
4658-16,48,3,0
4898-2,49,3,3
3132-1,61,6,3
4327-1,123,17,7
4430-3,43,2,2
4563-21,53,7,3
4879-1,69,11,2
20-3,33,6,2
4280-1,116,12,4
1815-1,100,9,7
4646-1,59,6,3
4420-1,125,15,7
3503-1,13,4,1
4851-11,12,1,3
4846-5,41,5,2
1080-45,35,2,1
4371-15,3,0,0
3395-85,69,6,2
4522-18,75,8,1
3703-1,25,2,1
4785-9,124,15,11
3640-16,79,9,3
3569-227,43,7,3
1830-1,7,1,0
3536-4,45,5,2
4642-1,100,13,4
3637-1,10,0,2
4121-1,24,2,1
3703-9,14,2,2
4944-1,66,9,3
4-649,75,6,1
3429-36,78,8,2
4690-1,23,0,1
5795-20,84,5,5
4590-4,103,10,8
4265-8,70,7,3
4813-15,117,9,3
3395-5,17,0,1
3395-60,132,16,9
2959-49,19,4,0
4327-3,103,6,6
2887-13,85,8,3
2191-8,72,7,4
5412-1,20,4,2
4349-83,89,13,6
4073-1,8,0,0
3594-61,59,2,3
5599-11,68,5,1
1865-3,65,6,6
3400-20,113,11,5
4638-2,91,10,4
4265-11,141,17,13
1080-47,42,1,0
2191-116,25,3,0
2758-22,24,2,1
58-201,108,9,8
4100-5,44,5,1
5148-1,64,4,1
3576-11,45,6,2
3703-130,85,10,3
4846-10,128,10,6
3663-1,147,25,14
4654-10,109,12,4
1812-1,37,1,4
4983-1,118,12,10
172-49,17,1,2
4117-1,89,13,3
4128-104,60,3,3
20-15,28,3,2
1865-18,80,6,5
3386-155,28,2,2
5606-1,75,12,3
2945-23,13,2,2
4665-2,72,3,3
3594-162,72,6,2
3594-146,54,5,2
3252-46,16,1,3
3703-60,17,4,1
5015-1,58,8,3
4579-1,101,15,8
4713-2,95,16,2
4116-1,119,14,8
1882-1,0,0,0
3501-5,88,8,4
3703-19,62,4,1
1882-15,115,14,5
3735-1,119,12,9
3464-24,108,4,5
4522-8,76,6,4
4973-1,40,4,1
3429-31,20,1,1
4128-372,31,1,0
3555-5,31,3,2
5021-1,81,9,2
3252-30,82,6,4
4923-1,46,4,0
4638-1,117,16,8
3395-343,69,10,3
2244-27,101,8,4
4106-76,129,23,6
3747-9,71,4,6
3667-5,98,11,9
2758-15,22,2,1
2758-49,70,5,4
4109-13,55,6,1
3429-25,15,0,1
4371-21,49,6,2
3302-11,122,31,10
4120-13,64,2,6
4106-1,44,3,0
4932-2,26,3,1
5718-1,26,1,1
4911-1,42,3,1
3536-121,83,7,3
4658-3,64,7,4
3464-49,122,7,2
3569-137,90,9,1
4119-1,110,13,3
5062-1,98,13,3
1812-13,42,7,2
3640-18,56,5,1
3302-10,72,12,2
1812-6,103,10,6
4992-3,63,5,4
3171-17,18,3,0
3294-31,15,0,0
1812-11,37,2,2
4898-12,77,9,5
3594-54,25,2,0
4167-45,18,0,0
3521-11,19,3,0
4695-1,71,9,3
3252-1,22,2,3
4677-1,30,3,2
2758-19,48,3,2
4665-1,69,5,3
3726-19,38,5,2
5663-1,81,8,4
3596-1,47,6,3
3569-121,87,8,1
4349-1,54,5,3
3395-33,46,6,1
4898-28,67,8,2
4106-14,22,1,1
4677-2,50,4,5
4167-21,21,2,1
4813-1,41,1,1
1865-1,11,1,0
3536-123,30,5,2
3464-1,24,4,2
4964-1,27,2,6
4665-3,62,4,1
3302-26,15,0,0
2959-28,16,2,1
4932-1,67,5,3
1882-9,33,5,3
4909-1,13,4,1
3195-1,33,3,1
3011-42,46,4,2
3503-17,29,2,1
3395-1,67,2,2
5751-1,71,5,3
5746-1,45,2,1
20-5,10,0,0
3395-333,84,8,4
2758-27,34,5,2
5795-1,70,3,2
4456-24,26,3,1
3610-17,92,8,1
3575-14,132,17,3
4522-10,30,4,1
4349-77,44,6,5
3171-14,2,0,0
4119-34,99,8,6
5810-1,100,10,11
3252-43,63,6,1
3295-18,111,24,7
4921-1,65,10,3
3747-5,117,11,8
5637-1,45,5,4
4319-4,71,10,8
4992-1,93,11,5
3283-1,30,2,1
3252-40,65,4,3
3703-97,85,7,5
4479-16,118,11,7
3736-6,107,25,2
4349-44,23,1,0
